suite_id,extractor,aggregator,query_count,h1_count,h0_count,h1_median,h0_median,paired_margin_mean,paired_margin_median,auroc,average_precision,auroc_ci_low,auroc_ci_high,permutation_p,holm_corrected_p,signal_detected
dm_256,srm,prnu_mle,80,80,240,0.023825068350070776,0.018365973540778385,0.004768239744142794,0.0054764046810518874,0.5850000000000001,0.33684446095741344,0.5327539062500001,0.6380755208333333,0.002999850007499625,0.06899655017249137,False
dm_256,srm,trimmed_mean,80,80,240,0.0047150818184500225,6.180324794254465e-05,0.004109775846837549,0.004200520687406914,0.6428125000000001,0.381194986116915,0.5703619791666666,0.7163203125,0.000599970001499925,0.014999250037498125,True
dm_256,wavelet,mean,80,80,240,0.003581983741741893,0.0003483138378354275,0.0045540486445859365,0.0037446746583643135,0.6594270833333336,0.5094532854127705,0.5868216145833333,0.73104296875,4.999750012499375e-05,0.0023998800059997,True
dm_256,wavelet,median,80,80,240,0.0033961968175935126,-6.106396772318011e-05,0.0055703553520515415,0.0027605689262656177,0.6808333333333333,0.5247468672366079,0.6113424479166667,0.7472942708333333,4.999750012499375e-05,0.0023998800059997,True
dm_256,wavelet,prnu_mle,80,80,240,0.00829014086664881,0.0052541013259990955,0.004405826471932073,0.0026468628023293174,0.63609375,0.4788052986055018,0.5614375000000001,0.7075533854166668,9.99950002499875e-05,0.00279986000699965,True
dm_256,wavelet,trimmed_mean,80,80,240,0.004633635539623126,1.8586430434466052e-05,0.0055037865837565154,0.003711668615212699,0.6672395833333333,0.5264926302851622,0.5913020833333333,0.7385468749999999,4.999750012499375e-05,0.0023998800059997,True
genimage_256,low_bit,mean,60,60,120,0.0027557176785521884,-0.0003926811573363542,0.015513065647259499,0.0025888344734391433,0.6725000000000001,0.646575641719149,0.5924861111111112,0.7513993055555555,4.999750012499375e-05,0.0023998800059997,True
genimage_256,low_bit,median,60,60,120,0.0023463457344006086,-0.0004114289371592732,0.009751291553499767,0.0021022468498925356,0.6919444444444445,0.6530787541596439,0.6192777777777778,0.7695972222222222,4.999750012499375e-05,0.0023998800059997,True
genimage_256,low_bit,prnu_mle,60,60,120,-5.883864587689761e-05,0.00020789767229274265,-0.0011913449430358486,-0.0003690224321317198,0.4623611111111111,0.30966162225273786,0.3729131944444445,0.5507013888888889,0.9319534023298836,1.0,False
genimage_256,low_bit,trimmed_mean,60,60,120,0.002765089392218073,-0.00025920683251216185,0.01219035155965666,0.0022509067719190387,0.6822222222222222,0.6525665726417982,0.5995798611111112,0.7584756944444444,4.999750012499375e-05,0.0023998800059997,True
